Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
28.10.2020;00:00;13.318;4.244;890
28.10.2020;00:15;13.216;4.178;968
28.10.2020;00:30;13.046;4.014;1.054
28.10.2020;00:45;12.933;3.942;1.079
28.10.2020;01:00;12.858;3.892;1.081
28.10.2020;01:15;12.730;3.766;1.038
28.10.2020;01:30;12.633;3.771;1.001
28.10.2020;01:45;12.599;3.783;1.005
28.10.2020;02:00;12.503;3.804;955
28.10.2020;02:15;12.444;3.828;985
28.10.2020;02:30;12.492;3.946;950
28.10.2020;02:45;12.522;3.998;943
28.10.2020;03:00;12.531;4.113;894
28.10.2020;03:15;12.501;4.184;851
28.10.2020;03:30;12.634;4.477;847
28.10.2020;03:45;12.656;4.569;843
28.10.2020;04:00;12.781;4.899;878
28.10.2020;04:15;12.823;5.085;882
28.10.2020;04:30;12.889;5.346;808
28.10.2020;04:45;13.062;5.686;758
28.10.2020;05:00;13.139;5.856;678
28.10.2020;05:15;13.350;6.166;640
28.10.2020;05:30;13.706;6.624;576
28.10.2020;05:45;14.107;7.134;475
28.10.2020;06:00;14.878;8.011;298
28.10.2020;06:15;15.430;8.636;239
28.10.2020;06:30;15.744;9.009;70
28.10.2020;06:45;16.021;9.417;84
28.10.2020;07:00;16.459;9.904;391
28.10.2020;07:15;16.644;10.097;398
28.10.2020;07:30;16.820;10.255;393
28.10.2020;07:45;17.059;10.549;386
28.10.2020;08:00;17.311;10.809;222
28.10.2020;08:15;17.414;10.891;218
28.10.2020;08:30;17.437;10.887;222
28.10.2020;08:45;17.445;10.994;217
28.10.2020;09:00;17.363;10.837;175
28.10.2020;09:15;17.484;10.826;177
28.10.2020;09:30;17.531;10.717;187
28.10.2020;09:45;17.406;10.414;186
28.10.2020;10:00;17.436;10.168;136
28.10.2020;10:15;17.441;9.823;173
28.10.2020;10:30;17.490;9.619;216
28.10.2020;10:45;17.558;9.438;326
28.10.2020;11:00;17.669;9.342;382
28.10.2020;11:15;17.715;9.154;386
28.10.2020;11:30;17.767;9.046;363
28.10.2020;11:45;17.808;8.890;397
28.10.2020;12:00;17.801;8.757;276
28.10.2020;12:15;17.782;8.587;401
28.10.2020;12:30;17.686;8.409;441
28.10.2020;12:45;17.661;8.381;453
28.10.2020;13:00;17.568;8.232;315
28.10.2020;13:15;17.414;8.192;318
28.10.2020;13:30;17.238;8.169;390
28.10.2020;13:45;17.221;8.320;420
28.10.2020;14:00;17.227;8.531;329
28.10.2020;14:15;17.085;8.558;238
28.10.2020;14:30;16.934;8.605;142
28.10.2020;14:45;16.886;8.805;118
28.10.2020;15:00;16.895;9.103;288
28.10.2020;15:15;16.747;9.253;209
28.10.2020;15:30;16.721;9.542;159
28.10.2020;15:45;16.676;9.886;123
28.10.2020;16:00;16.586;10.040;82
28.10.2020;16:15;16.528;10.122;68
28.10.2020;16:30;16.507;10.123;74
28.10.2020;16:45;16.621;10.442;129
28.10.2020;17:00;17.043;10.773;444
28.10.2020;17:15;17.409;11.040;499
28.10.2020;17:30;17.671;11.099;499
28.10.2020;17:45;17.805;11.085;476
28.10.2020;18:00;17.821;10.962;433
28.10.2020;18:15;17.818;10.827;404
28.10.2020;18:30;17.803;10.688;397
28.10.2020;18:45;17.665;10.516;398
28.10.2020;19:00;17.557;10.347;307
28.10.2020;19:15;17.452;10.054;332
28.10.2020;19:30;17.343;9.877;337
28.10.2020;19:45;17.177;9.691;458
28.10.2020;20:00;16.830;9.228;179
28.10.2020;20:15;16.566;8.941;193
28.10.2020;20:30;16.309;8.760;243
28.10.2020;20:45;16.089;8.625;257
28.10.2020;21:00;15.850;8.418;90
28.10.2020;21:15;15.621;8.086;142
28.10.2020;21:30;15.395;7.897;355
28.10.2020;21:45;15.051;7.549;453
28.10.2020;22:00;14.932;7.465;158
28.10.2020;22:15;14.649;7.124;135
28.10.2020;22:30;14.392;6.874;183
28.10.2020;22:45;14.174;6.632;201
28.10.2020;23:00;13.845;6.154;252
28.10.2020;23:15;13.669;5.945;365
28.10.2020;23:30;13.441;5.650;397
28.10.2020;23:45;13.159;5.327;570
29.10.2020;00:00;13.059;5.223;601
29.10.2020;00:15;12.887;5.115;699
29.10.2020;00:30;12.791;5.161;713
29.10.2020;00:45;12.612;5.052;752
29.10.2020;01:00;12.585;4.887;782
29.10.2020;01:15;12.421;4.573;855
29.10.2020;01:30;12.375;4.537;875
29.10.2020;01:45;12.346;4.460;955
29.10.2020;02:00;12.244;4.523;847
29.10.2020;02:15;12.204;4.415;871
29.10.2020;02:30;12.205;4.299;886
29.10.2020;02:45;12.282;4.306;888
29.10.2020;03:00;12.238;4.186;978
29.10.2020;03:15;12.275;4.128;984
29.10.2020;03:30;12.388;4.339;965
29.10.2020;03:45;12.449;4.450;925
29.10.2020;04:00;12.641;4.597;942
29.10.2020;04:15;12.732;4.631;970
29.10.2020;04:30;12.906;4.928;863
29.10.2020;04:45;13.018;5.195;701
29.10.2020;05:00;13.293;5.498;828
29.10.2020;05:15;13.484;5.535;753
29.10.2020;05:30;13.790;5.762;720
29.10.2020;05:45;14.228;6.246;619
29.10.2020;06:00;14.921;6.857;648
29.10.2020;06:15;15.467;7.365;512
29.10.2020;06:30;15.779;7.721;321
29.10.2020;06:45;16.132;8.205;210
29.10.2020;07:00;16.469;8.623;429
29.10.2020;07:15;16.609;8.740;380
29.10.2020;07:30;16.717;8.729;351
29.10.2020;07:45;16.920;8.963;361
29.10.2020;08:00;17.090;9.103;197
29.10.2020;08:15;17.194;9.204;192
29.10.2020;08:30;17.278;9.129;202
29.10.2020;08:45;17.301;8.853;249
29.10.2020;09:00;17.327;8.585;55
29.10.2020;09:15;17.464;8.600;55
29.10.2020;09:30;17.584;8.466;61
29.10.2020;09:45;17.730;8.443;92
29.10.2020;10:00;17.821;8.244;136
29.10.2020;10:15;17.908;8.025;263
29.10.2020;10:30;17.987;7.850;416
29.10.2020;10:45;18.104;7.706;544
29.10.2020;11:00;18.218;7.731;474
29.10.2020;11:15;18.301;7.760;412
29.10.2020;11:30;18.421;7.803;478
29.10.2020;11:45;18.287;7.803;459
29.10.2020;12:00;18.130;7.746;329
29.10.2020;12:15;18.115;7.714;304
29.10.2020;12:30;18.071;7.729;286
29.10.2020;12:45;18.115;7.851;203
29.10.2020;13:00;18.046;8.073;175
29.10.2020;13:15;17.943;8.249;194
29.10.2020;13:30;17.623;8.301;220
29.10.2020;13:45;17.674;8.770;390
29.10.2020;14:00;17.466;8.870;416
29.10.2020;14:15;17.398;9.104;251
29.10.2020;14:30;17.242;9.400;211
29.10.2020;14:45;17.093;9.775;160
29.10.2020;15:00;17.081;10.100;208
29.10.2020;15:15;16.983;10.371;152
29.10.2020;15:30;16.891;10.625;140
29.10.2020;15:45;16.879;10.871;129
29.10.2020;16:00;16.921;11.201;118
29.10.2020;16:15;16.907;11.373;100
29.10.2020;16:30;16.958;11.512;110
29.10.2020;16:45;17.118;11.775;94
29.10.2020;17:00;17.503;12.112;273
29.10.2020;17:15;17.733;12.338;329
29.10.2020;17:30;17.875;12.518;320
29.10.2020;17:45;17.882;12.454;294
29.10.2020;18:00;17.780;12.335;271
29.10.2020;18:15;17.689;12.301;273
29.10.2020;18:30;17.656;12.242;272
29.10.2020;18:45;17.565;12.162;256
29.10.2020;19:00;17.409;11.913;259
29.10.2020;19:15;17.358;11.748;281
29.10.2020;19:30;17.198;11.478;273
29.10.2020;19:45;17.095;11.316;286
29.10.2020;20:00;16.738;10.884;287
29.10.2020;20:15;16.467;10.553;329
29.10.2020;20:30;16.213;10.249;383
29.10.2020;20:45;15.880;9.919;405
29.10.2020;21:00;15.669;9.674;317
29.10.2020;21:15;15.459;9.349;328
29.10.2020;21:30;15.221;9.075;401
29.10.2020;21:45;15.024;8.827;533
29.10.2020;22:00;14.956;8.859;92
29.10.2020;22:15;14.707;8.598;91
29.10.2020;22:30;14.405;8.277;151
29.10.2020;22:45;14.070;7.958;154
29.10.2020;23:00;13.835;7.797;90
29.10.2020;23:15;13.535;7.511;84
29.10.2020;23:30;13.163;7.145;111
29.10.2020;23:45;13.002;6.896;186
30.10.2020;00:00;12.700;6.604;384
